Hour,Email_Count,Avg_Response_Time_Minutes,Median_Response_Time_Minutes,Min_Response_Time_Minutes,Max_Response_Time_Minutes,Std_Response_Time_Minutes,Hour_Label
6,2,100.0,100.0,3.0,197.0,137.18,06:00
7,3,20.0,17.0,14.0,29.0,7.94,07:00
8,5,31.2,24.0,14.0,66.0,21.06,08:00
9,15,43.33,29.0,6.0,124.0,36.9,09:00
10,6,48.67,39.0,4.0,121.0,41.61,10:00
11,11,80.55,77.0,22.0,141.0,39.57,11:00
12,22,73.64,94.5,14.0,117.0,37.95,12:00
13,14,89.86,80.5,7.0,256.0,85.85,13:00
14,13,138.77,186.0,10.0,207.0,76.9,14:00
15,21,89.48,83.0,8.0,171.0,56.42,15:00
16,14,84.79,93.0,8.0,120.0,33.08,16:00
17,20,15.45,13.5,2.0,43.0,11.67,17:00
18,4,0.0,0.0,0.0,0.0,0.0,18:00
19,6,0.0,0.0,0.0,0.0,0.0,19:00
20,2,0.0,0.0,0.0,0.0,0.0,20:00
